objectid,creator,culture,date,title,materials,measurements,credit,web_address,location,description,alternate_number,type,filename,format
JSMAIHL.0050,Kobayashi Kiyochika,Japanese,1895,"A Thick-Skinned Face from the series Long Live Japan: One Hundred Victories, One Hundred Laughs",,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214495;type=101,Japan,Kiyochika / Suisei; First edition date: 1895; Genre:senso-e; fūshiga; giga,,Image;StillImage,ihl-0050.jpg,image/jpeg
JSMAIHL.0051,Tsukioka Yoshitoshi,Japanese,Sept 1886,Ariko - Sink Beneath the Waves from the series One Hundred Aspects of the Moon,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214496;type=101,Japan,Yoshitoshi 芳年 / Taiso 大蘇; First edition date: Sept 1886; Genre:ukiyo-e,,Image;StillImage,ihl-0051.jpg,image/jpeg
JSMAIHL.0052,Tsukioka Yoshitoshi,Japanese,Jan 1887,Akazome Emon (The Poetess Awaiting Her Lover) from the series One Hundred Aspects of the Moon,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214497;type=101,Japan,Yoshitoshi 芳年 / Taiso 大蘇; First edition date: Jan 1887; Genre:ukiyo-e,,Image;StillImage,ihl-0052.jpg,image/jpeg
JSMAIHL.0053,Tsukioka Yoshitoshi,Japanese,June 1886,Mount Otowa moon - Bright God Tamura from the series One Hundred Aspects of the Moon,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214498;type=101,Japan,Yoshitoshi 芳年 / Taiso 大蘇; First edition date: June 1886; Genre:ukiyo-e,,Image;StillImage,ihl-0053.jpg,image/jpeg
JSMAIHL.0054,Tsukioka Yoshitoshi,Japanese,October 1885,Rising Moon Over Mount Nanping – Cao Cao from the series One Hundred Aspects of the Moon,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214499;type=101,Japan,Yoshitoshi 芳年 / Taiso 大蘇; First edition date: October 1885; Genre:ukiyo-e,,Image;StillImage,ihl-0054.jpg,image/jpeg
JSMAIHL.0058,Tsukioka Yoshitoshi,Japanese,October 1885,Chang E Flees to the Moon from the series One Hundred Aspects of the Moon,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214500;type=101,Japan,Yoshitoshi 芳年 / Yoshitoshi ; First edition date: October 1885; Genre:ukiyo-e,,Image;StillImage,ihl-0058.jpg,image/jpeg
JSMAIHL.0078,Sogaku,Japanese,1892,Content Pages from the album One Hundred Aspects of the Moon (diptych),,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214501;type=101,Japan,ō shoku? sogaku sho / so and uread seal; First edition date: 1892; Genre:,,Image;StillImage,ihl-0078.jpg,image/jpeg
JSMAIHL.0079,Kojima Shōgetsu,Japanese,1890,Illustration of the Emperor and Empress Arriving at the 3rd National Industrial Exposition (Triptych),,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214502;type=101,Japan,Tōshū Shōgetsu / Shōgetsu; First edition date: 1890; Genre:ukiyo-e; kaika-e,,Image;StillImage,ihl-0079.jpg,image/jpeg
JSMAIHL.0080,Tsukioka Yoshitoshi,Japanese,June 1891,The Moon's Invention - Hōzō Temple from the series One Hundred Aspects of the Moon,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214503;type=101,Japan,Yoshitoshi 芳年/  Kai 魁; First edition date: June 1891; Genre:ukiyo-e,,Image;StillImage,ihl-0080.jpg,image/jpeg
JSMAIHL.0081,Taguchi Beisaku,Japanese,1895,Illustration of Foreign-looking Manchurian Horsemen on an Expedition to Observe the Japanese Camp in the Distance Near Sauhoku (triptych),,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214504;type=101,Japan,Beisaku / saku; First edition date: 1895; Genre:ukiyo-e; senso-e,,Image;StillImage,ihl-0081.jpg,image/jpeg
JSMAIHL.0082,Ōkura Kōtō,Japanese,1904,Illustration of Negotiations Between Japan and Russia (triptych),,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214505;type=101,Japan,Kōtō / Ogata ‎Kōtō; First edition date: 1904; Genre:ukiyo-e; senso-e,,Image;StillImage,ihl-0082.jpg,image/jpeg
JSMAIHL.0083,Tsukioka Yoshitoshi,Japanese,May 1888,Abe no Nakamaro - Kasuga Moon from the series One Hundred Aspects of the Moon,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214506;type=101,Japan,Yoshitoshi 芳年 / Taiso 大蘇; First edition date: May 1888; Genre:ukiyo-e,,Image;StillImage,ihl-0083.jpg,image/jpeg
JSMAIHL.0084,WATANABE Nobukazu,Japanese,1894,"Illustration of a Large Intense Engagement, Sino-Japanese War (triptych)",,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214507;type=101,Japan,ōju Yosai Nobukazu hitsu / no seal; First edition date: 1894; Genre:ukiyo-e; senso-e,,Image;StillImage,ihl-0084.jpg,image/jpeg
JSMAIHL.0085,UTAGAWA Kokunimasa,Japanese,1904,Battle between the Japanese and Russians at Seoul: Hurrah for the Great Victory of the Great Japanese Empire (Triptych),,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214508;type=101,Japan,Ryūa 柳蛙 / Edoko  江戸子; First edition date: 1904; Genre:nishiki-e; senso-e,,Image;StillImage,ihl-0085.jpg,image/jpeg
JSMAIHL.0086,Tsukioka Yoshitoshi,Japanese,March 1886,Gravemarker Moon from the series One Hundred Aspects of the Moon,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214509;type=101,Japan,Yoshitoshi 芳年 / Yoshitoshi 芳年; First edition date: March 1886; Genre:ukiyo-e,,Image;StillImage,ihl-0086.jpg,image/jpeg
JSMAIHL.0087,Tsukioka Yoshitoshi,Japanese,June 1886,The Moon's Inner Vision - Taira no Tomoume from the series One Hundred Aspects of the Moon),Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214510;type=101,Japan,Yoshitoshi 芳年 / Taiso 大蘇; First edition date: June 1886; Genre:ukiyo-e,,Image;StillImage,ihl-0087.jpg,image/jpeg
JSMAIHL.0088,Tsukioka Yoshitoshi,Japanese,September 1886,Inamura Promontory Moon at Daybreak from the series One Hundred Aspects of the Moon,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214511;type=101,Japan,Yoshitoshi 芳年 / Taiso 大蘇; First edition date: September 1886; Genre:ukiyo-e,,Image;StillImage,ihl-0088.jpg,image/jpeg
JSMAIHL.0089,,Japanese,August 1894,Ban-Banzai for the Great Japanese Empire!  Illustration of the Assault on Songhwan: A Great Victory for Our Troops (triptych),,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214512;type=101,Japan,ōju Toshikata saku / Ōsai shujin; First edition date: August 1894; Genre:ukiyo-e; senso-e,,Image;StillImage,ihl-0089.jpg,image/jpeg
JSMAIHL.0090,UTAGAWA Kokunimasa,Japanese,February 1895,Illustration of the Fierce Battle in the Falling Snow at Dengzhou Fu near Wei-Hai-Wei (triptych),,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214513;type=101,Japan,Kokunimasa / stylized seal; First edition date: February 1895 ; Genre:nishiki-e; senso-e,,Image;StillImage,ihl-0090.jpg,image/jpeg
JSMAIHL.0091,Yūsai Toshiaki,Japanese,February 1895,"Illustration of the Occupation of the Hodai Fort, at Wei-Hai-Wei by our 2nd Army (triptych)",,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214514;type=101,Japan,Toshiaki ga / Yūsai; First edition date: February 1895 ; Genre:ukiyo-e; senso-e,,Image;StillImage,ihl-0091.jpg,image/jpeg
JSMAIHL.0092,MIGITA Toshihide,Japanese,1895,Chinese Admiral Ding Ruchang about to Commit Suicide after Surrendering to Japanese Forces (triptych),,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214515;type=101,Japan,Ōju Toshihide / Gōsai in; First edition date: 1895; Genre:ukiyo-e; senso-e,,Image;StillImage,ihl-0092.jpg,image/jpeg
JSMAIHL.0093,,Japanese,1894,Harada Jūkichi Opens the Genbu Gate from Within the Fort at Pyongyang (triptych),,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214516;type=101,Japan,"ōju Toshikata saku
応需 年方作 / Toshikata 年方; First edition date: 1894; Genre:ukiyo-e; senso-e",,Image;StillImage,ihl-0093.jpg,image/jpeg
JSMAIHL.0096,Kobayashi Kiyochika,Japanese,Sept. 1894,Illustration of the Attack at the Ansong Ford During the Fierce Battle at Asan (triptych),,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214517;type=101,Japan,Kiyochika / kiyo and chika seals; First edition date: Sept. 1894; Genre:ukiyo-e; senso-e,,Image;StillImage,ihl-0096.jpg,image/jpeg
JSMAIHL.0097,Kobayashi Kiyochika,Japanese,August 1895,Illustration of (Japanese Forces) Driving Away Taiwanese Bandits near Xinzhu (Hsinchu) (triptych),,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214518;type=101,Japan,Kiyochika / kiyo and chika seals; First edition date: August 1895; Genre:ukiyo-e; senso-e,,Image;StillImage,ihl-0097.jpg,image/jpeg
JSMAIHL.0100,Kobayashi Kiyochika,Japanese,1895,"Braving the Bitter Cold, Our Troops Setup Camp at Yingkou (variant printing, also see IHL #107) (triptych)",,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214519;type=101,Japan,Kiyochika / kiyo and chika seals; First edition date: 1895; Genre:ukiyo-e; senso-e,,Image;StillImage,ihl-0100.jpg,image/jpeg
JSMAIHL.0101,Yonehide,Japanese,April 1904,Japanese Forces Occupying Yizhou. Russian Soldiers Fleeing to the North Bank of the Yalu (triptych),,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214520;type=101,Japan,ōju Yonehide saku / Gosei no in; First edition date: April 1904; Genre:ukiyo-e; senso-e,,Image;StillImage,ihl-0101.jpg,image/jpeg
JSMAIHL.0102,Ikeda Terukata,Japanese,April 1904,"A Great Victory for the Great Japanese Imperial Navy, Hurrah! (triptych)",,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214521;type=101,Japan,輝方 Terukata / Toshiide; First edition date: April 1904; Genre:ukiyo-e; senso-e,,Image;StillImage,ihl-0102.jpg,image/jpeg
JSMAIHL.0103,Morita Kakō,Japanese,April 1904,"The Enemy Cavalry Attacked Yizhou, but Our Foot Soldiers Fiercely Pursued and Turned Them Back (triptych)",,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214522;type=101,Japan,Kakō / Morita Kakō; First edition date: April 1904; Genre:ukiyo-e; senso-e,,Image;StillImage,ihl-0103.jpg,image/jpeg
JSMAIHL.0104,Gakyō,Japanese,March 1904,The Humane Ambulance Corps of the Japanese Red Cross (triptych),,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214523;type=101,Japan,Gakyō-jin 画狂仁 / Yamazumai 山住; First edition date: March 1904; Genre:ukiyo-e; senso-e,,Image;StillImage,ihl-0104.jpg,image/jpeg
JSMAIHL.0105,Yōshū Chikanobu,Japanese,1881,Illustration of the Second National Industrial Exposition at Ueno Park  (triptych),,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214524;type=101,Japan,Yōshū Chikanobu hitsu / no seal; First edition date: 1881; Genre:ukiyo-e; kaika-e,,Image;StillImage,ihl-0105.jpg,image/jpeg
JSMAIHL.0107,Kobayashi Kiyochika,Japanese,1895,"Braving the Bitter Cold, Our Troops Setup Camp at Yingkou (also see IHL #100) (triptych)",,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214525;type=101,Japan,Kiyochika / kiyo and chika; First edition date: 1895; Genre:ukiyo-e; senso-e,,Image;StillImage,ihl-0107.jpg,image/jpeg
JSMAIHL.0108,Kobayashi Kiyochika,Japanese,1894,"A Big Headache for Li Hongzhang from the series Long Live Japan: One Hundred Victories, One Hundred Laughs",,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214526;type=101,Japan,Kiyochika / kiyo and chika; First edition date: 1894; Genre:senso-e; fūshiga; giga,,Image;StillImage,ihl-0108.jpg,image/jpeg
JSMAIHL.0110,Taguchi Beisaku,Japanese,March 1895,Illustration of the Japanese Army on Its Righteous Mission to Chastise China Fights Furiously at Haicheng in the Snow and Ice: The Brave Major General Oshima at Battle (triptych),,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214527;type=101,Japan,Beisaku / saku ; First edition date: March 1895; Genre:ukiyo-e; senso-e,,Image;StillImage,ihl-0110.jpg,image/jpeg
JSMAIHL.0111,Kobayashi Kiyochika (after),Japanese,c. 1930s,Tea House at Imadobashi (see IHL #172),,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214528;type=101,Japan,Kiyochika; First edition date: c. 1877; Genre:Shin Hanga,,Image;StillImage,ihl-0111.jpg,image/jpeg
JSMAIHL.0113,Tsukioka Yoshitoshi,Japanese,December 1890,Kazan Temple Moon from the series One Hundred Aspects of the Moon,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214529;type=101,Japan,Yoshitoshi 芳年 / Yoshitoshi no in; First edition date: Decenber 1890; Genre:ukiyo-e,,Image;StillImage,ihl-0113.jpg,image/jpeg
JSMAIHL.0117,Kobayashi Kiyochika,Japanese,March 1897,Lake Chuzenji from the series Views of the Famous Sights of Japan,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214530;type=101,Japan,Kiyochika / suisei; First edition date: March 1897; Genre:ukiyo-e; meisho-e,,Image;StillImage,ihl-0117.jpg,image/jpeg
JSMAIHL.0119,Kobayashi Kiyochika,Japanese,November 1896,The Waterfall Urami-no-Taki from the series Views of the Famous Sights of Japan,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214531;type=101,Japan,Kiyochika / Kiyochika; First edition date: November 1896; Genre:ukiyo-e; meisho-e,,Image;StillImage,ihl-0119.jpg,image/jpeg
JSMAIHL.0129,Kobayashi Kiyochika,Japanese,1896,"Yumoto Hot Spring, Nikko from the series Views of the Famous Sights Of Japan",,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214532;type=101,Japan,Kiyochika / Kobayashi; First edition date: 1896; Genre:ukiyo-e; meisho-e,,Image;StillImage,ihl-0129.jpg,image/jpeg
JSMAIHL.0130,Yōshū Chikanobu,Japanese,Aug 1895,Tea Ceremony and Flower Arranging in Turn from the series Chiyoda Inner Palace (triptych),Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=214533;type=101,Japan,Yōshū Chikanobu / no seal; First edition date: Aug 1895; Genre:ukiyo-e,,Image;StillImage,ihl-0130.jpg,image/jpeg
JSMAIHL.0157,WATANABE Nobukazu,Japanese,,Illustration of the Fierce Battle at the Surrender of Pyongyang Fort (triptych),,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=215124;type=101,Japan,,,Image;StillImage,ihl-0157.jpg,image/jpeg
JSMAIHL.0158,,Japanese,,Sino-Japanese War Chronicle (triptych),,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon",https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=215125;type=101,Japan,,,Image;StillImage,ihl-0158.jpg,image/jpeg
JSMAIHL.0160,,,,,,,,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=215660;type=101,,,,Image;StillImage,ihl-0160.jpg,image/jpeg
JSMAIHL.0164,,,,,,,,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=215661;type=101,,,,Image;StillImage,ihl-0164.jpg,image/jpeg
