objectid,filename,title,creator,date,description,subject,location,latitude,longitude,identifier,type,format,culture,materials,measurements,credit,published,web_page,altnum
IHL.0050,ihl-0050.jpg,"A Thick-Skinned Face from the series Long Live Japan: One Hundred Victories, One Hundred Laughs",Kobayashi Kiyochika,1895,Kiyochika / Suisei; First edition date: 1895; Genre:senso-e; f?shiga; giga,,Japan,,,IHL.0050,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0051,ihl-0051.jpg,Ariko - Sink Beneath the Waves from the series One Hundred Aspects of the Moon,Tsukioka Yoshitoshi,Sept 1886,Yoshitoshi ?? / Taiso ??; First edition date: Sept 1886; Genre:ukiyo-e,,Japan,,,IHL.0051,Image;StillImage,image/jpeg,Japanese,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0052,ihl-0052.jpg,Akazome Emon (The Poetess Awaiting Her Lover) from the series One Hundred Aspects of the Moon,Tsukioka Yoshitoshi,Jan 1887,Yoshitoshi ?? / Taiso ??; First edition date: Jan 1887; Genre:ukiyo-e,,Japan,,,IHL.0052,Image;StillImage,image/jpeg,Japanese,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0053,ihl-0053.jpg,Mount Otowa moon - Bright God Tamura from the series One Hundred Aspects of the Moon,Tsukioka Yoshitoshi,June 1886,Yoshitoshi ?? / Taiso ??; First edition date: June 1886; Genre:ukiyo-e,,Japan,,,IHL.0053,Image;StillImage,image/jpeg,Japanese,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0054,ihl-0054.jpg,Rising Moon Over Mount Nanping – Cao Cao from the series One Hundred Aspects of the Moon,Tsukioka Yoshitoshi,October 1885,Yoshitoshi ?? / Taiso ??; First edition date: October 1885; Genre:ukiyo-e,,Japan,,,IHL.0054,Image;StillImage,image/jpeg,Japanese,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0058,ihl-0058.jpg,Chang E Flees to the Moon from the series One Hundred Aspects of the Moon,Tsukioka Yoshitoshi,October 1885,Yoshitoshi ?? / Yoshitoshi ; First edition date: October 1885; Genre:ukiyo-e,,Japan,,,IHL.0058,Image;StillImage,image/jpeg,Japanese,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0078,ihl-0078.jpg,Content Pages from the album One Hundred Aspects of the Moon (diptych),Sogaku,1892,? shoku? sogaku sho / so and uread seal; First edition date: 1892; Genre:,,Japan,,,IHL.0078,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0079,ihl-0079.jpg,Illustration of the Emperor and Empress Arriving at the 3rd National Industrial Exposition (Triptych),Kojima Sh?getsu,1890,T?sh? Sh?getsu / Sh?getsu; First edition date: 1890; Genre:ukiyo-e; kaika-e,,Japan,,,IHL.0079,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0080,ihl-0080.jpg,The Moon's Invention - H?z? Temple from the series One Hundred Aspects of the Moon,Tsukioka Yoshitoshi,June 1891,Yoshitoshi ??/  Kai ?; First edition date: June 1891; Genre:ukiyo-e,,Japan,,,IHL.0080,Image;StillImage,image/jpeg,Japanese,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0081,ihl-0081.jpg,Illustration of Foreign-looking Manchurian Horsemen on an Expedition to Observe the Japanese Camp in the Distance Near Sauhoku (triptych),Taguchi Beisaku,1895,Beisaku / saku; First edition date: 1895; Genre:ukiyo-e; senso-e,,Japan,,,IHL.0081,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0082,ihl-0082.jpg,Illustration of Negotiations Between Japan and Russia (triptych),?kura K?t?,1904,K?t? / Ogata ?K?t?; First edition date: 1904; Genre:ukiyo-e; senso-e,,Japan,,,IHL.0082,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0083,ihl-0083.jpg,Abe no Nakamaro - Kasuga Moon from the series One Hundred Aspects of the Moon,Tsukioka Yoshitoshi,May 1888,Yoshitoshi ?? / Taiso ??; First edition date: May 1888; Genre:ukiyo-e,,Japan,,,IHL.0083,Image;StillImage,image/jpeg,Japanese,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0084,ihl-0084.jpg,"Illustration of a Large Intense Engagement, Sino-Japanese War (triptych)",WATANABE Nobukazu,1894,?ju Yosai Nobukazu hitsu / no seal; First edition date: 1894; Genre:ukiyo-e; senso-e,,Japan,,,IHL.0084,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0085,ihl-0085.jpg,Battle between the Japanese and Russians at Seoul: Hurrah for the Great Victory of the Great Japanese Empire (Triptych),UTAGAWA Kokunimasa,1904,Ry?a ?? / Edoko  ???; First edition date: 1904; Genre:nishiki-e; senso-e,,Japan,,,IHL.0085,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0086,ihl-0086.jpg,Gravemarker Moon from the series One Hundred Aspects of the Moon,Tsukioka Yoshitoshi,March 1886,Yoshitoshi ?? / Yoshitoshi ??; First edition date: March 1886; Genre:ukiyo-e,,Japan,,,IHL.0086,Image;StillImage,image/jpeg,Japanese,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0087,ihl-0087.jpg,The Moon's Inner Vision - Taira no Tomoume from the series One Hundred Aspects of the Moon),Tsukioka Yoshitoshi,June 1886,Yoshitoshi ?? / Taiso ??; First edition date: June 1886; Genre:ukiyo-e,,Japan,,,IHL.0087,Image;StillImage,image/jpeg,Japanese,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0088,ihl-0088.jpg,Inamura Promontory Moon at Daybreak from the series One Hundred Aspects of the Moon,Tsukioka Yoshitoshi,September 1886,Yoshitoshi ?? / Taiso ??; First edition date: September 1886; Genre:ukiyo-e,,Japan,,,IHL.0088,Image;StillImage,image/jpeg,Japanese,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0089,ihl-0089.jpg,Ban-Banzai for the Great Japanese Empire!  Illustration of the Assault on Songhwan: A Great Victory for Our Troops (triptych),,August 1894,?ju Toshikata saku / ?sai shujin; First edition date: August 1894; Genre:ukiyo-e; senso-e,,Japan,,,IHL.0089,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0090,ihl-0090.jpg,Illustration of the Fierce Battle in the Falling Snow at Dengzhou Fu near Wei-Hai-Wei (triptych),UTAGAWA Kokunimasa,February 1895,Kokunimasa / stylized seal; First edition date: February 1895 ; Genre:nishiki-e; senso-e,,Japan,,,IHL.0090,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0091,ihl-0091.jpg,"Illustration of the Occupation of the Hodai Fort, at Wei-Hai-Wei by our 2nd Army (triptych)",Y?sai Toshiaki,February 1895,Toshiaki ga / Y?sai; First edition date: February 1895 ; Genre:ukiyo-e; senso-e,,Japan,,,IHL.0091,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0092,ihl-0092.jpg,Chinese Admiral Ding Ruchang about to Commit Suicide after Surrendering to Japanese Forces (triptych),MIGITA Toshihide,1895,?ju Toshihide / G?sai in; First edition date: 1895; Genre:ukiyo-e; senso-e,,Japan,,,IHL.0092,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0093,ihl-0093.jpg,Harada J?kichi Opens the Genbu Gate from Within the Fort at Pyongyang (triptych),,1894,"?ju Toshikata saku
?? ??? / Toshikata ??; First edition date: 1894; Genre:ukiyo-e; senso-e",,Japan,,,IHL.0093,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0096,ihl-0096.jpg,Illustration of the Attack at the Ansong Ford During the Fierce Battle at Asan (triptych),Kobayashi Kiyochika,Sept. 1894,Kiyochika / kiyo and chika seals; First edition date: Sept. 1894; Genre:ukiyo-e; senso-e,,Japan,,,IHL.0096,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0097,ihl-0097.jpg,Illustration of (Japanese Forces) Driving Away Taiwanese Bandits near Xinzhu (Hsinchu) (triptych),Kobayashi Kiyochika,August 1895,Kiyochika / kiyo and chika seals; First edition date: August 1895; Genre:ukiyo-e; senso-e,,Japan,,,IHL.0097,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0100,ihl-0100.jpg,"Braving the Bitter Cold, Our Troops Setup Camp at Yingkou (variant printing, also see IHL #107) (triptych)",Kobayashi Kiyochika,1895,Kiyochika / kiyo and chika seals; First edition date: 1895; Genre:ukiyo-e; senso-e,,Japan,,,IHL.0100,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0101,ihl-0101.jpg,Japanese Forces Occupying Yizhou. Russian Soldiers Fleeing to the North Bank of the Yalu (triptych),Yonehide,April 1904,?ju Yonehide saku / Gosei no in; First edition date: April 1904; Genre:ukiyo-e; senso-e,,Japan,,,IHL.0101,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0102,ihl-0102.jpg,"A Great Victory for the Great Japanese Imperial Navy, Hurrah! (triptych)",Ikeda Terukata,April 1904,?? Terukata / Toshiide; First edition date: April 1904; Genre:ukiyo-e; senso-e,,Japan,,,IHL.0102,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0103,ihl-0103.jpg,"The Enemy Cavalry Attacked Yizhou, but Our Foot Soldiers Fiercely Pursued and Turned Them Back (triptych)",Morita Kak?,April 1904,Kak? / Morita Kak?; First edition date: April 1904; Genre:ukiyo-e; senso-e,,Japan,,,IHL.0103,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0104,ihl-0104.jpg,The Humane Ambulance Corps of the Japanese Red Cross (triptych),Gaky?,March 1904,Gaky?-jin ??? / Yamazumai ??; First edition date: March 1904; Genre:ukiyo-e; senso-e,,Japan,,,IHL.0104,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0105,ihl-0105.jpg,Illustration of the Second National Industrial Exposition at Ueno Park  (triptych),Y?sh? Chikanobu,1881,Y?sh? Chikanobu hitsu / no seal; First edition date: 1881; Genre:ukiyo-e; kaika-e,,Japan,,,IHL.0105,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0107,ihl-0107.jpg,"Braving the Bitter Cold, Our Troops Setup Camp at Yingkou (also see IHL #100) (triptych)",Kobayashi Kiyochika,1895,Kiyochika / kiyo and chika; First edition date: 1895; Genre:ukiyo-e; senso-e,,Japan,,,IHL.0107,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0108,ihl-0108.jpg,"A Big Headache for Li Hongzhang from the series Long Live Japan: One Hundred Victories, One Hundred Laughs",Kobayashi Kiyochika,1894,Kiyochika / kiyo and chika; First edition date: 1894; Genre:senso-e; f?shiga; giga,,Japan,,,IHL.0108,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0110,ihl-0110.jpg,Illustration of the Japanese Army on Its Righteous Mission to Chastise China Fights Furiously at Haicheng in the Snow and Ice: The Brave Major General Oshima at Battle (triptych),Taguchi Beisaku,March 1895,Beisaku / saku ; First edition date: March 1895; Genre:ukiyo-e; senso-e,,Japan,,,IHL.0110,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0111,ihl-0111.jpg,Tea House at Imadobashi (see IHL #172),Kobayashi Kiyochika (after),c. 1930s,Kiyochika; First edition date: c. 1877; Genre:Shin Hanga,,Japan,,,IHL.0111,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0113,ihl-0113.jpg,Kazan Temple Moon from the series One Hundred Aspects of the Moon,Tsukioka Yoshitoshi,December 1890,Yoshitoshi ?? / Yoshitoshi no in; First edition date: Decenber 1890; Genre:ukiyo-e,,Japan,,,IHL.0113,Image;StillImage,image/jpeg,Japanese,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0117,ihl-0117.jpg,Lake Chuzenji from the series Views of the Famous Sights of Japan,Kobayashi Kiyochika,March 1897,Kiyochika / suisei; First edition date: March 1897; Genre:ukiyo-e; meisho-e,,Japan,,,IHL.0117,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0119,ihl-0119.jpg,The Waterfall Urami-no-Taki from the series Views of the Famous Sights of Japan,Kobayashi Kiyochika,November 1896,Kiyochika / Kiyochika; First edition date: November 1896; Genre:ukiyo-e; meisho-e,,Japan,,,IHL.0119,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0129,ihl-0129.jpg,"Yumoto Hot Spring, Nikko from the series Views of the Famous Sights Of Japan",Kobayashi Kiyochika,1896,Kiyochika / Kobayashi; First edition date: 1896; Genre:ukiyo-e; meisho-e,,Japan,,,IHL.0129,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0130,ihl-0130.jpg,Tea Ceremony and Flower Arranging in Turn from the series Chiyoda Inner Palace (triptych),Y?sh? Chikanobu,Aug 1895,Y?sh? Chikanobu / no seal; First edition date: Aug 1895; Genre:ukiyo-e,,Japan,,,IHL.0130,Image;StillImage,image/jpeg,Japanese,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0157,ihl-0157.jpg,Illustration of the Fierce Battle at the Surrender of Pyongyang Fort (triptych),WATANABE Nobukazu,,,,Japan,,,IHL.0157,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0158,ihl-0158.jpg,Sino-Japanese War Chronicle (triptych),,,,,Japan,,,IHL.0158,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0160,ihl-0160.jpg,untitled,,,,,,,,IHL.0160,Image;StillImage,image/jpeg,,,,,,,
IHL.0164,ihl-0164.jpg,untitled,,,,,,,,IHL.0164,Image;StillImage,image/jpeg,,,,,,,
IHL.0168,ihl-0168.jpg,The Great Battle of the Ansong Ford: The Valor of Captain Matsuzaki Crossing Anj? (triptych),Mizumo Toshikata,1894,?ju Toshiata e / Toshikata; First edition date: 1894; Genre:ukiyo-e; senso-e,,Japan,,,IHL.0168,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0172,ihl-0172.jpg,Tea House at Imadobashi (see IHL #111),Kobayashi Kiyochika (after),n.d. (c. 1930s),not signed / not sealed; First edition date: c. 1877; Genre:Shin Hanga,,Japan,,,IHL.0172,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0192,ihl-0192.jpg,True Depiction of Citizens Greeting the Carriage of His Imperial Majesty and Commander-in-Chief upon His Return through the Triumphal Arch (triptych),,July 1885,?ju Gekk? / engy?ry?; First edition date: July 1885; Genre:ukiyo-e; senso-e,,Japan,,,IHL.0192,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0193,ihl-0193.jpg,Illustration of Townspeople Watching Noh Play “Okina” in Edo Castle (triptych),Y?sh? Chikanobu,1889,Y?sh? Chikanobu hitsu / Toshidama; First edition date: 1889; Genre:ukiyo-e,,Japan,,,IHL.0193,Image;StillImage,image/jpeg,Japanese,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0201,ihl-0201.jpg,New Year Parade of the Tokyo Fire Brigade (triptych),Kot?,1873,?zoku Kot? sei ????? / ??unread seal; First edition date: 1873; Genre:ukiyo-e,,Japan,,,IHL.0201,Image;StillImage,image/jpeg,Japanese,Ukiyo-e woodblock print; ink and color on paper,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0222,ihl-0222.jpg,Imperial Prosperity: Ceremony in the Eastern Capital (triptych),WATANABE Nobukazu,1900,?ju Y?sai / no seal; First edition date: 1900; Genre:ukiyo-e; kaika-e,,Japan,,,IHL.0222,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0223,ihl-0223.jpg,Welcoming the Triumphant Japanese Army (triptych),ADACHI Gink?,Sept 1894,?ju Gink? / Heta no yokozuki; First edition date: Sept 1894; Genre:ukiyo-e; senso-e,,Japan,,,IHL.0223,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
IHL.0227,ihl-0227.jpg,"The Pig's Dismay from the series Long Live Japan: One Hundred Victories, One Hundred Laughs",Kobayashi Kiyochika,1894,Kiyochika / Kiyo; First edition date: 1894; Genre:senso-e; f?shiga; giga,,Japan,,,IHL.0227,Image;StillImage,image/jpeg,Japanese,,,"The Lavenberg Collection Of Japanese Prints - Prints On Indeterminate Loan With Intent To Gift To The Jordan Schnitzer Museum Of Art, University Of Oregon ",,,
